sku,product_name,product_type,flavor_code,flavor_name,flavor_category,label_code,cap_color,cubes_per_unit,case_sku,case_qty,include_in_plan,active,notes
GS146,Witches Brew Punch Mixer Kit,Kit,,,,,,,C6-GS146,6,Y,Y,"🍁🎃; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS147,Candy Corn Latte Mixer Kit,Kit,,,,,,,C6-GS147,6,Y,Y,"🍁🎃; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS148,Poison Apple Martini kit,Kit,,,,,,,C6-GS148,6,Y,Y,"🍁🎃; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS149,Vampire Mimosa Trio,Kit,,,,,,,C6-GS149,6,Y,Y,"🍁🎃; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS100,Shimmer Champagne Mixer Trio,Kit,,,,,,,C6-GS100,6,Y,Y,"❄️; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS101,Hot Cocoa Flavour Bar Mixer Trio,Kit,,,,,,,C6-GS101,6,Y,Y,"❄️; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS170,Good Tidings Mimosa Kit,Kit,,,,,,,C6-GS170,6,Y,Y,"🎄; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS171,Citrus and Spice Mulled Wine,Kit,,,,,,,C6-GS171,6,Y,Y,"🎄; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS172,Christmas at the Cafe,Kit,,,,,,,C6-GS172,6,Y,Y,"🎄; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS173,Christmas Tea,Kit,,,,,,,C6-GS173,6,Y,Y,"🎄; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS174,Honeyed Gold Espresso Martini,Kit,,,,,,,C6-GS174,6,Y,Y,"🎄; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS175,Gingerbread Chai Latte,Kit,,,,,,,C6-GS175,,Y,Y,"🎄; YES (B2B), WIP (FAIRE), NOT STARTED (DTC)"
GS160,White Chocolate Candy Cane Martini Mixer Kit (RD Box - GN Insert),Kit,,,,,,,,,Y,N,🏡🎁; NOT LIVE
GS161,Holiday Bourbon Cocktail Mixer Set (GN-G Box with RD Insert),Kit,,,,,,,,,Y,N,🏡🎁; NOT LIVE
GS162,Witch / Spell Purple box small details,Kit,,,,,,,,,Y,N,🏡🎃; NOT LIVE
GS163,Candy Corn Home Home goods,Kit,,,,,,,,,Y,N,🏡🎃; NOT LIVE
GS082-1,Mom-Mosa Mimosa Mixer Set (robin's egg box),Kit,,,,,,,GS082-1-CS6,,Y,N,NOT LIVE
GS130,Vanilla Chai Old Fashioned Mixer Kit,Kit,,,,,,,C6-GS130,6,Y,N,ARCHIVED; marked xx in source
GS131,Harvest Mimosa Kit,Kit,,,,,,,C6-GS131,6,Y,N,ARCHIVED; marked xx in source
GS131-RD,Harvest Mimosa Kit (Red Box),Kit,,,,,,,C6-GS131-RD,6,Y,N,ARCHIVED; marked xx in source
GS132,Flannel & Spice Mulled Wine Mixer Kit,Kit,,,,,,,C6-GS132,6,Y,N,ARCHIVED; marked xx in source
GS133,Salted Honey Espresso Martini Kit,Kit,,,,,,,C6-GS133,6,Y,N,ARCHIVED; marked xx in source
GS134,Pumpkin Cheesecake Martini Kit,Kit,,,,,,,C6-GS134,6,Y,N,ARCHIVED; marked xx in source
GS135,Roasted Pear & Honey Latte Kit,Kit,,,,,,,C6-GS135,6,Y,N,ARCHIVED; marked xx in source
GS136,Horchata Mocha Cafe Kit,Kit,,,,,,,C6-GS136,6,Y,N,ARCHIVED; marked xx in source
GS002-MS,Champagne Cocktail Mixer Kit - Congrats to the Mrs & Mrs,Kit,,,,,,,GS002-MS-CS6,6,Y,N,marked xx in source
GS001,Champagne Brunch Kit,Kit,,,,,,,GS001-CS6,3,Y,N,marked xx in source
GS001-2,Seasonal Stick Kit,Kit,,,,,,,GS001-2-CS6,3,Y,N,marked xx in source
GS002,Champagne Cocktail Mixer Kit,Kit,,,,,,,GS002-CS6,6,Y,N,marked xx in source
GS002-1,Passport to: Champagne Kit,Kit,,,,,,,C6-GS002-1,6,Y,N,marked xx in source
GS002-BG,Champagne Cocktail Mixer Kit - Cheers to Bride & Groom,Kit,,,,,,,C6-GS002-BG,6,Y,N,marked xx in source
GS002-BP,Champagne Cocktail Mixer Kit - Bridesmaid Proposal,Kit,,,,,,,C6-GS002-BP,6,Y,N,marked xx in source
GS002-CB,Champagne Cocktail Mixer Kit - Cheers to Bride,Kit,,,,,,,C6-GS002-CB,6,Y,N,marked xx in source
GS002-MM,Champagne Cocktail Mixer Kit - Congrats to the Mr & Mrs,Kit,,,,,,,GS002-MM-CS6,6,Y,N,marked xx in source
GS002-MR,Champagne Cocktail Mixer Kit - Congrats to the Mr & Mr,Kit,,,,,,,GS002-MR-CS6,6,Y,N,marked xx in source
GS003,Classic Cocktail Kit,Kit,,,,,,,GS003-CS6,6,Y,N,marked xx in source
GS003-1,Passport to: Cocktail Kit,Kit,,,,,,,C6-GS003-1,6,Y,N,marked xx in source
GS003-GP,Classic Cocktail Mixer Kit - Groomsman Proposal,Kit,,,,,,,C6-GS003-GP,6,Y,N,marked xx in source
GS004,Spring Cocktail Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS005,Mimosa Cocktail Mixer Kit,Kit,,,,,,,GS005-CS6,6,Y,N,marked xx in source
GS005-1,Passport to: Mimosa Kit,Kit,,,,,,,C6-GS005-1,6,Y,N,marked xx in source
GS006,Holiday Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS007,Ultimate Mimosa Sugar Stick Set (w/peach),Kit,,,,,,,,,Y,N,marked xx in source
GS008,Ultimate Mimosa Set (w/rose petals),Kit,,,,,,,,,Y,N,marked xx in source
GS009,Beer Cocktail Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS010,Irish Bar Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS011,Rosé Kit  (also Strawberry & Peach | Duo Sugar Stick Kit),Kit,,,,,,,,,Y,N,marked xx in source
GS012,Arcadia Orange & Grapefruit | Duo Sugar Stick Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS013,Salted Caramel & Vanilla | Duo Sugar Stick Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS014,Moscow Mule & Old Fashioned | Duo Sugar Stick Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS015,Cosmo & Mojito | Duo Sugar Stick Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS016,Raspberry & Rose | Duo Sugar Stick Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS017,Pumpkin Spice Latte Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS018,Fall Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS019,Founders Favorite Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS020,Hot Cocoa Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS021,Champagne Jar Trio,Kit,,,,,,,,,Y,N,marked xx in source
GS022,Mimosa Jar Trio,Kit,,,,,,,,,Y,N,marked xx in source
GS023,Cocktail Jar Trio (also Rose Duo),Kit,,,,,,,,,Y,N,marked xx in source
GS024,Sparkling Wine Kit (also was Mimosa Duo),Kit,,,,,,,,,Y,N,marked xx in source
GS026,Golden Latte Kit,Kit,,,,,,,GS026-CS6,6,Y,N,marked xx in source
GS027,Ruby Latte Kit,Kit,,,,,,,GS027-CS6,6,Y,N,marked xx in source
GS028,Champagne Party Kit Raspberry + Rose Petal Jars,Kit,,,,,,,,,Y,N,marked xx in source
GS029,Champagne Party Kit Grapefruit + Rose Petal Jars,Kit,,,,,,,,,Y,N,marked xx in source
GS030,Hot Cocoa Kit (Peppermint only Topping) for UCG,Kit,,,,,,,,,Y,N,marked xx in source
GS032,Passport to: Coffee Kit,Kit,,,,,,,C6-GS032,6,Y,N,marked xx in source
GS033,Passport to: Tea Kit,Kit,,,,,,,C6-GS033,6,Y,N,marked xx in source
GS034,Passport to: Martini Kit,Kit,,,,,,,C6-GS034,6,Y,N,marked xx in source
GS034-1,Martini Classics Kit,Kit,,,,,,,GS034-1-CS6,6,Y,N,marked xx in source
GS035,Classic Holiday Kit,Kit,,,,,,,,,Y,N,marked xx in source
GS036,(SOLD OUT)  Special Edition INSTANT CHAMPAGNE COCKTAIL KIT,Kit,,,,,,,,,Y,N,marked xx in source
GS050,Chocolate Strawberry Martini Mixer Kit,Kit,,,,,,,GS050-CS6,6,Y,N,marked xx in source
GS052,Heart Beet Latte Kit,Kit,,,,,,,GS052-CS6,6,Y,N,marked xx in source
GS053,XOXO Champangne Mixer Set,Kit,,,,,,,GS053-CS6,6,Y,N,marked xx in source
GS054,Be Mine Martini Mixer Kit,Kit,,,,,,,GS054-CS6,6,Y,N,marked xx in source
GS055,Matcha Made in Heaven Latte Kit,Kit,,,,,,,GS055-CS6,6,Y,N,marked xx in source
GS056,Love You Latte Kit,Kit,,,,,,,GS056-CS6,6,Y,N,marked xx in source
GS057,Mint To Be (Strawberry Mint Julep Mixer Kit),Kit,,,,,,,GS057-CS6,6,Y,N,marked xx in source
GS058,Luck Of The Irish Latte Kit,Kit,,,,,,,GS058-CS6,6,Y,N,marked xx in source
GS059,Irish Espresso Martini Mixer Kit,Kit,,,,,,,GS059-CS6,6,Y,N,marked xx in source
GS060,Sparkly Green Champagne Mixer Kit,Kit,,,,,,,GS060-CS6,6,Y,N,marked xx in source
GS061,Grasshopper Martini Mixer Kit,Kit,,,,,,,GS061-CS6,6,Y,N,marked xx in source
GS062,Azalea Champagne Cocktail Mixer Kit,Kit,,,,,,,GS062-CS6,6,Y,N,marked xx in source
GS063,Tom Collins Champagne Spritzer Mixer Kit,Kit,,,,,,,GS063-CS6,6,Y,N,marked xx in source
GS065,Champagne Old Fashioned Kit,Kit,,,,,,,GS065-CS6,6,Y,N,marked xx in source
GS066,Peached Old Fashioned Mixer Kit,Kit,,,,,,,GS066-CS6,6,Y,N,marked xx in source
GS067,Strawberry Mint Julep Mixer Kit,Kit,,,,,,,GS067-CS6,6,Y,N,marked xx in source
GS070,Pompelcello Spritz Mixer Set,Kit,,,,,,,GS070-CS6,6,Y,N,marked xx in source
GS072,Strawberry Lemoncello Martini Mixer Kit,Kit,,,,,,,GS072-CS6,6,Y,N,marked xx in source
GS073,Mint Lemoncello Martini Mixer Kit,Kit,,,,,,,GS073-CS6,6,Y,N,marked xx in source
GS074,Sangria Blanca Kit (White Sangria),Kit,,,,,,,GS074-CS6,6,Y,N,marked xx in source
GS075,Sangria Rossa Kit (Red Sangria),Kit,,,,,,,GS075-CS6,6,Y,N,marked xx in source
GS076,Sangria Italian Sol (Fruit Sangria),Kit,,,,,,,GS076-CS6,6,Y,N,marked xx in source
GS077,Tiramisu Cafe Kit,Kit,,,,,,,GS077-CS6,6,Y,N,marked xx in source
GS079,Paper Plane Passport Mixer Kit,Kit,,,,,,,GS079-CS6,6,Y,N,marked xx in source
GS080,Mom's Off Duty Champagne Mixer Set,Kit,,,,,,,GS080-CS6,6,Y,N,marked xx in source
GS081,Happy Mothers Day Champagne Mixer Set,Kit,,,,,,,GS081-CS6,6,Y,N,marked xx in source
GS084,Cool Mom Cafe Kit,Kit,,,,,,,GS084-CS6,6,Y,N,marked xx in source
GS085-1,Worlds Best Dad Cocktail Set (black box),Kit,,,,,,,GS085-1-CS6,,Y,N,marked xx in source
GS086,The Bourbon Legend Peach Cobbler Old Fashioned Mixer Kit,Kit,,,,,,,GS086-CS6,6,Y,N,marked xx in source
GS086-1,The Bourbon Legend Peach Cobbler Old Fashioned Mixer Kit (black box),Kit,,,,,,,GS086-1-CS6,,Y,N,marked xx in source
