parent_sku,mini_sku,label_code,qty,cubes_per_tube,notes
GS151-SV,SM007-BL,LM007-BL,1,6,
GS152,SM006-BL,LM006-BL,1,6,
GS152,,LM005-BL,1,6,
GS152,SM007-BL,LM007-BL,1,6,
GS153,SM013-PC,LM013-PC,1,6,
GS153,SM012-PC,LM012-PC,1,6,
GS153,SM119-PC,LM119-PC,1,6,
GS154,,LM039-PM,1,6,
GS154,SM008-PM,LM008-PM,1,6,
GS154,SM010-PM,LM010-PM,1,6,
GS155,,LM039-PM,1,6,
GS155,SM008-PM,LM008-PM,1,6,
GS155,SM010-PM,LM010-PM,1,6,
GS170,,LM088-PM,1,6,
GS170,,LM104-PM,1,6,
GS170,,LM093-PM,1,6,
GS171,,LM049-AW,1,6,
GS171,,LM093-AW,1,6,
GS171,,LM098-AW,1,6,
GS172,,LM101-GC,1,6,
GS172,,LM092-GC,1,6,
GS172,,LM080-GC,1,6,
GS173,,LM062-GC,1,6,
GS173,,LM045-GC,1,6,
GS173,,LM093-GC,1,6,
GS174,SM034-PC,LM034-PC,1,6,
GS174,,LM092-PC,1,6,
GS174,,LM100-GR,1,0,Rimmer
GS175,,LM066-GR,1,0,Rimmer
GS175,,LM106-GC,1,6,
GS175,,LM045-GC,1,6,
